publisher	title	卷	潮州歌叙录	wikicommons_file	digital_transcription
潮州義安路李萬利	古板新造靈芝記蝴蝶引全歌	5~7	083	CADAL13030399_古板新造靈芝記蝴蝶引全歌（卷五至卷七）.djvu	https://web.archive.org/web/20080917162458/http://www.geocities.co.jp/HeartLand-Yurinoki/5558/chao-83.htm
潮州李春記書坊	新抄二度梅蟹針記	1~3	084	CADAL13030358_新抄二度梅蟹針記（卷一至卷三）.djvu	
潮州李春記書坊	新抄二度梅蟹針記	4~6	084	CADAL13030359_新抄二度梅蟹針記（卷四至卷六）.djvu	
潮州李春記書坊	新抄二度梅蟹針記	7~8	084	CADAL13030360_新抄二度梅蟹針記（卷七至卷八）.djvu	
潮州義安路李萬利	古板新造梅良玉下棚兩度星	1~5	085	CADAL13030355_古板新造梅良玉下棚兩度星（卷一至卷五）.djvu	
潮州義安路李萬利	古板新造梅良玉下棚兩度星	6~10	085	CADAL13030356_古板新造梅良玉下棚兩度星（卷六至卷十）.djvu	
潮州義安路李萬利	古板新造梅良玉下棚兩度星	11~14	085	CADAL13030357_古板新造梅良玉下棚兩度星（卷十一至卷十四）.djvu	
潮州義安路李萬利	古板新造李春鳳全歌	1~6	086	CADAL13030968_古板新造李春鳳全歌（卷一至卷六）.djvu	
潮州義安路李萬利	古板新造李春鳳全歌	7~12	086	CADAL13030969_古板新造李春鳳全歌（卷七至卷十二）.djvu	
潮州義安路李萬利	古板新造李春鳳全歌	13~18	086	CADAL13030970_古板新造李春鳳全歌（卷十三至卷十八）.djvu	
潮州義安路李萬利	古板新造李旦仔全歌	1~4	087	CADAL13030639_古板新造李旦仔全歌（卷一至卷四）.djvu	
潮州義安路李萬利	古板新造李旦仔全歌	5~8	087	CADAL13030640_古板新造李旦仔全歌（卷五至卷八）.djvu	
潮州義安路李萬利	古板新造伯皆子香羅帕全歌	1~2	088	CADAL13030546_古板新造伯皆子香羅帕全歌（卷一至卷二）.djvu	
潮州義安路李萬利	古板新造伯皆子香羅帕全歌	3~4	088	CADAL13030547_古板新造伯皆子香羅帕全歌（卷三至卷四）.djvu	
潮州義安路李萬利	古板新造龐卓花全歌	1~6	089	CADAL13030538_古板新造龐卓花全歌（卷一至卷六）.djvu	
潮州義安路李萬利	古板新造龐卓花全歌	7~11	089	CADAL13030539_古板新造龐卓花全歌（卷七至卷十一）.djvu	
	新造吳忠恕全歌		090		
潮州義安路李萬利	古板新造宋帝昺全歌	1~5	091	CADAL13030616_古板新造宋帝昺全歌（卷一至卷五）.djvu	
潮州義安路李萬利	古板新造宋帝昺全歌	6~10	091	CADAL13030617_古板新造宋帝昺全歌（卷六至卷十）.djvu	
潮州義安路李萬利	古板新選孝順孟日紅割股救姑全歌	1	092	CADAL13030534_古板新選孝順孟日紅割股救姑全歌（卷一）.djvu	
	新造狄清上棚包公出世		093		
	新造狄龍狄虎下棚平北		094		
潮州義安路李萬利	古板新造紙容記全歌	1~3	095	CADAL13030737_古板新造紙容記全歌（卷一至卷三）.djvu	
潮州義安路李萬利	古板新造紙容記全歌	4~6	095	CADAL13030738_古板新造紙容記全歌（卷四至卷六）.djvu	
潮州義安路李萬利	古板新造紙容記全歌	7~9	095	CADAL13030739_古板新造紙容記全歌（卷七至卷九）.djvu	
潮州義安路李萬利	古板新造李九我相爺全歌	1~3	096	CADAL13030448_古板新造李九我相爺全歌（卷一至卷三）.djvu	
潮州李春記書坊	新刻金狗精	1~3	097	CADAL13030674_新刻金狗精（卷一至卷三）.djvu	
潮州李春記書坊	新刻金狗精	4~5	097	CADAL13030675_新刻金狗精（卷四至卷五）.djvu	
潮州李春記書坊	新刻金狗精	6~8	097	CADAL13030676_新刻金狗精（卷六至卷八）.djvu	
潮州義安路李萬利	古板新造蘇六娘金釵羅帕記全歌	1~3	098	CADAL13030386_古板新造蘇六娘金釵羅帕記全歌（卷一至卷三）.djvu	https://zh.wikisource.org/wiki/古板新造蘇六娘金釵羅帕記全歌
潮州義安路李萬利	古板新造金燕媒全歌	1~3	099	CADAL13030530_古板新造金燕媒全歌（卷一至卷三）.djvu	
潮州義安路李萬利	古板新造金燕媒全歌	4~5	099	CADAL13030531_古板新造金燕媒全歌（卷四至卷五）.djvu	
潮州義安路李萬利	古板新造金燕媒全歌	6~7	099	CADAL13030532_古板新造金燕媒全歌（卷六至卷七）.djvu	
潮州義安路李萬利	古板新造金燕媒全歌	8~10	099	CADAL13030533_古板新造金燕媒全歌（卷八至卷十）.djvu	
	新造金燕媒下觀花		100		
	新造楊文廣南蠻十八洞		101		
	新造萬花樓下棚		102		
潮州義安路李萬利	古板新造宋朝明珠記全歌	1~5	103	CADAL13030365_古板新造宋朝明珠記全歌（卷一至卷五）.djvu	
潮州義安路李萬利	古板新造忠義節十不全全歌	1~4	104	CADAL13030378_古板新造忠義節十不全全歌（卷一至卷四）.djvu	
